    Molecular point group: c1
    Full point group: C1

    Geometry (in Angstrom), charge = 0, multiplicity = 1:

       Center              X                  Y                   Z       
    ------------   -----------------  -----------------  -----------------
         C           -6.205130251905    -0.701922797797    -0.830094875925
         C           -6.057830251905     0.360477202203     0.056105124075
         N           -7.506730251905    -1.134922797797    -0.871794875925
         N           -7.323730251905     0.559377202203     0.547405124075
         C            6.284969748095    -0.275022797797    -0.046194875925
         C           -8.152130251905    -0.361022797797    -0.031194875925
         C            3.585069748095     0.483377202203     0.227405124075
         H           -0.444730251905     3.844277202203    -0.709994875925
         N            1.680269748095     2.080077202203    -0.027694875925
         C           -3.703430251905     0.499177202203    -0.369694875925
         H           -1.578530251905    -0.846722797797     0.616705124075
         C            2.175469748095     0.892777202203     0.289805124075
         H           -9.207930251905    -0.419622797797     0.197005124075
         C           -3.851230251905    -0.565622797797    -1.283194875925
         H           -4.753030251905     1.807977202203     1.019605124075
         C           -5.087930251905    -1.175422797797    -1.523794875925
         H           -7.596030251905     1.256977202203     1.223805124075
         C           -4.832630251905     0.991777202203     0.308805124075
         H            4.262469748095     2.430977202203    -0.419394875925
         H            7.324669748095    -0.569722797797    -0.161694875925
         C           -2.356330251905     1.043777202203    -0.133394875925
         C           -0.041230251905     0.651977202203     0.342505124075
         C            5.338469748095    -1.206122797797     0.370605124075
         H           -2.797630251905     3.047677202203    -0.826494875925
         H           -5.182230251905    -1.998822797797    -2.222294875925
         C           -1.351130251905     0.178077202203     0.338905124075
         C            0.312769748095     1.934877202203    -0.039094875925
         C            5.894669748095     1.033277202203    -0.320994875925
         C           -2.026630251905     2.370177202203    -0.463494875925
         C           -0.698330251905     2.833877202203    -0.408494875925
         C            4.554869748095     1.408477202203    -0.184494875925
         C            5.639069748095    -2.229822797797     0.580005124075
         H            6.629169748095     1.762677202203    -0.652194875925
         H            3.294569748095    -1.594022797797     0.820905124075
         N            1.148069748095     0.043677202203     0.632705124075
         H            1.249569748095    -0.914422797797     0.926205124075
         C            3.998769748095    -0.830022797797     0.507805124075
         H           -2.981230251905    -0.936522797797    -1.824294875925
         C            6.692519748095    -2.331522797797     0.422505124075
         C            5.114869748095    -2.896102797797    -0.072824875925
         C            5.405639748095    -2.469282797797     1.596405124075
         H            5.348299748095    -2.656642797797    -1.089224875925
         H            4.061429748095    -2.794402797797     0.084675124075
         H            5.410699748095    -3.903542797797     0.133245124075
         H            5.929839748095    -1.802992797797     2.249235124075
         H            5.701469748095    -3.476712797797     1.802475124075
         H            4.352199748095    -2.367582797797     1.753905124075
         H            6.925939748095    -2.092062797797    -0.593904875925
         H            6.988349748095    -3.338952797797     0.628575124075
         H            7.216719748095    -1.665242797797     1.075335124075

