    Molecular point group: c1
    Full point group: C1

    Geometry (in Angstrom), charge = 0, multiplicity = 1:

       Center              X                  Y                   Z       
    ------------   -----------------  -----------------  -----------------
         C            0.121081450455     1.069167651443    -2.062689166640
         C            0.270481450455     0.110457651443    -0.917299166640
         H           -0.361408549545     0.552657651443    -2.918819166640
         N           -0.322238549545     0.368247651443     0.283020833360
         H            1.122231450455     1.433187651443    -2.375309166640
         O            0.934021450455    -0.903812348557    -1.085359166640
         H           -0.501388549545     1.944647651443    -1.781869166640
         C           -0.216088549545    -0.468192348557     1.348390833360
         H           -0.875378549545     1.232537651443     0.392690833360
         O           -0.767078549545    -0.190022348557     2.401780833360
         H            0.354391450455    -1.390552348557     1.285500833360

